#SampleID	Sample Accession	Sample Alias	Ecozone	Region	Site	Environmental Source	Phylogenetic Marker	Target Gene Subfragment	Collection Date	sampling_depth_m	elevation_m	mean_annual_temp_C	total_carbon	total_nitrogen	ph	cn_ratio	ph_category
ERR1226594	ERS1040469	SL139B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.1	1050	3.8	17.5	0.5	5.2	34.3	Slightly Acidic
ERR1226595	ERS1040470	SL140B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.1	1050	3.8	17.5	0.5	5.2	34.3	Slightly Acidic
ERR1226596	ERS1040471	SL141B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.1	1050	3.8	17.5	0.5	5.2	34.3	Slightly Acidic
ERR1226597	ERS1040472	SL142B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	0.9	0.1	5.5	18.2	Slightly Acidic
ERR1226598	ERS1040473	SL143B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	0.9	0.1	5.5	18.2	Slightly Acidic
ERR1226599	ERS1040474	SL144B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	0.9	0.1	5.5	18.2	Slightly Acidic
ERR1226600	ERS1040475	SL145B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.1	1050	3.8	19.899999999999999	0.5	5.4	39	Slightly Acidic
ERR1226601	ERS1040476	SL146B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.1	1050	3.8	19.899999999999999	0.5	5.4	39	Slightly Acidic
ERR1226602	ERS1040477	SL147B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.1	1050	3.8	19.899999999999999	0.5	5.4	39	Slightly Acidic
ERR1226603	ERS1040478	SL148B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	1.4	0.1	5.6	19.6	Slightly Acidic
ERR1226604	ERS1040479	SL149B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	1.4	0.1	5.6	19.6	Slightly Acidic
ERR1226605	ERS1040480	SL150B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	1.4	0.1	5.6	19.6	Slightly Acidic
ERR1226606	ERS1040481	SL152B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.1	1050	3.8	17.899999999999999	0.5	5.2	33.2	Slightly Acidic
ERR1226607	ERS1040482	SL153B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.1	1050	3.8	17.899999999999999	0.5	5.2	33.2	Slightly Acidic
ERR1226608	ERS1040483	SL154B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	1.1000000000000001	0.1	5.5	17.8	Slightly Acidic
ERR1226609	ERS1040484	SL155B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	1.1000000000000001	0.1	5.5	17.8	Slightly Acidic
ERR1226610	ERS1040485	SL156B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	1.1000000000000001	0.1	5.5	17.8	Slightly Acidic
ERR1226611	ERS1040486	SL160B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	0.9	0.1	5.6	18.2	Slightly Acidic
ERR1226612	ERS1040487	SL161B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	0.9	0.1	5.6	18.2	Slightly Acidic
ERR1226613	ERS1040488	SL162B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	0.9	0.1	5.6	18.2	Slightly Acidic
ERR1226614	ERS1040489	SL166B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	1.1000000000000001	0.1	5.5	18.2	Slightly Acidic
ERR1226615	ERS1040490	SL167B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	1.1000000000000001	0.1	5.5	18.2	Slightly Acidic
ERR1226616	ERS1040491	SL168B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	1.1000000000000001	0.1	5.5	18.2	Slightly Acidic
ERR1226617	ERS1040492	SL172B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	0.9	0.1	5.7	18	Slightly Acidic
ERR1226618	ERS1040493	SL173B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	0.9	0.1	5.7	18	Slightly Acidic
ERR1226619	ERS1040494	SL174B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	0.9	0.1	5.7	18	Slightly Acidic
ERR1226620	ERS1040495	SL175B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.1	1050	3.8	18.899999999999999	0.6	5.4	33.7	Slightly Acidic
ERR1226621	ERS1040496	SL176B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.1	1050	3.8	18.899999999999999	0.6	5.4	33.7	Slightly Acidic
ERR1226622	ERS1040497	SL177B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.1	1050	3.8	18.899999999999999	0.6	5.4	33.7	Slightly Acidic
ERR1226623	ERS1040498	SL178B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	0.9	0.1	5.8	17.4	Slightly Acidic
ERR1226624	ERS1040499	SL179B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	0.9	0.1	5.8	17.4	Slightly Acidic
ERR1226625	ERS1040500	SL180B	SBSBC	British Columbia	SL	Forest Soil	16S rRNA	V1-V3	2009-08-14	0.3	1050	3.8	0.9	0.1	5.8	17.4	Slightly Acidic
ERR1226626	ERS1040501	TO061B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	33.5	1	5.1	32.5	Slightly Acidic
ERR1226627	ERS1040502	TO062B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	33.5	1	5.1	32.5	Slightly Acidic
ERR1226628	ERS1040503	TO063B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	33.5	1	5.1	32.5	Slightly Acidic
ERR1226629	ERS1040504	TO064B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	2.2000000000000002	0.1	5.7	21.6	Slightly Acidic
ERR1226630	ERS1040505	TO065B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	2.2000000000000002	0.1	5.7	21.6	Slightly Acidic
ERR1226631	ERS1040506	TO066B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	2.2000000000000002	0.1	5.7	21.6	Slightly Acidic
ERR1226632	ERS1040507	TO067B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	26.4	0.9	4.8	28.7	Moderately Acidic
ERR1226633	ERS1040508	TO068B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	26.4	0.9	4.8	28.7	Moderately Acidic
ERR1226634	ERS1040509	TO069B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	26.4	0.9	4.8	28.7	Moderately Acidic
ERR1226635	ERS1040510	TO070B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	3.3	0.2	5	20.3	Slightly Acidic
ERR1226636	ERS1040511	TO071B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	3.3	0.2	5	20.3	Slightly Acidic
ERR1226637	ERS1040512	TO072B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	3.3	0.2	5	20.3	Slightly Acidic
ERR1226638	ERS1040513	TO076B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	2.2000000000000002	0.1	5	24.3	Slightly Acidic
ERR1226639	ERS1040514	TO077B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	2.2000000000000002	0.1	5	24.3	Slightly Acidic
ERR1226640	ERS1040515	TO078B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	2.2000000000000002	0.1	5	24.3	Slightly Acidic
ERR1226641	ERS1040516	TO079B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	27.6	0.8	4.7	34.9	Moderately Acidic
ERR1226642	ERS1040517	TO080B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	27.6	0.8	4.7	34.9	Moderately Acidic
ERR1226643	ERS1040518	TO081B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	27.6	0.8	4.7	34.9	Moderately Acidic
ERR1226644	ERS1040519	TO082B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.9	0.1	4.9	21.1	Moderately Acidic
ERR1226645	ERS1040520	TO083B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.9	0.1	4.9	21.1	Moderately Acidic
ERR1226646	ERS1040521	TO084B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.9	0.1	4.9	21.1	Moderately Acidic
ERR1226647	ERS1040522	TO085B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	37.1	1.2	4.9	32	Moderately Acidic
ERR1226648	ERS1040523	TO086B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	37.1	1.2	4.9	32	Moderately Acidic
ERR1226649	ERS1040524	TO087B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	37.1	1.2	4.9	32	Moderately Acidic
ERR1226650	ERS1040525	TO088B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.9	0.1	4.9	21.6	Moderately Acidic
ERR1226651	ERS1040526	TO089B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.9	0.1	4.9	21.6	Moderately Acidic
ERR1226652	ERS1040527	TO090B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.9	0.1	4.9	21.6	Moderately Acidic
ERR1226653	ERS1040528	TO094B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.7	0.1	5.5	21	Slightly Acidic
ERR1226654	ERS1040529	TO095B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.7	0.1	5.5	21	Slightly Acidic
ERR1226655	ERS1040530	TO096B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.7	0.1	5.5	21	Slightly Acidic
ERR1226656	ERS1040531	TO097B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	35.6	0.9	5.1	37.9	Slightly Acidic
ERR1226657	ERS1040532	TO098B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	35.6	0.9	5.1	37.9	Slightly Acidic
ERR1226658	ERS1040533	TO099B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	35.6	0.9	5.1	37.9	Slightly Acidic
ERR1226659	ERS1040534	TO100B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	2.2999999999999998	0.1	5.2	20.7	Slightly Acidic
ERR1226660	ERS1040535	TO101B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	2.2999999999999998	0.1	5.2	20.7	Slightly Acidic
ERR1226661	ERS1040536	TO102B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	2.2999999999999998	0.1	5.2	20.7	Slightly Acidic
ERR1226662	ERS1040537	TO103B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	30.6	0.9	5.1	34.8	Slightly Acidic
ERR1226663	ERS1040538	TO104B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	30.6	0.9	5.1	34.8	Slightly Acidic
ERR1226664	ERS1040539	TO105B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	30.6	0.9	5.1	34.8	Slightly Acidic
ERR1226665	ERS1040540	TO106B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	3.1	0.2	5.1	19.6	Slightly Acidic
ERR1226666	ERS1040541	TO107B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	3.1	0.2	5.1	19.6	Slightly Acidic
ERR1226667	ERS1040542	TO108B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	3.1	0.2	5.1	19.6	Slightly Acidic
ERR1226668	ERS1040543	TO112B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.8	0.1	5.7	19.5	Slightly Acidic
ERR1226669	ERS1040544	TO113B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.8	0.1	5.7	19.5	Slightly Acidic
ERR1226670	ERS1040545	TO114B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.8	0.1	5.7	19.5	Slightly Acidic
ERR1226671	ERS1040546	TO115B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	44.8	1.1000000000000001	4.4	42.3	Moderately Acidic
ERR1226672	ERS1040547	TO116B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	44.8	1.1000000000000001	4.4	42.3	Moderately Acidic
ERR1226673	ERS1040548	TO117B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.1	1100	1.7	44.8	1.1000000000000001	4.4	42.3	Moderately Acidic
ERR1226674	ERS1040549	TO118B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.1000000000000001	0.1	5	22.2	Slightly Acidic
ERR1226675	ERS1040550	TO119B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.1000000000000001	0.1	5	22.2	Slightly Acidic
ERR1226676	ERS1040551	TO120B	SBSBC	British Columbia	TO	Forest Soil	16S rRNA	V1-V3	2008-07-11	0.3	1100	1.7	1.1000000000000001	0.1	5	22.2	Slightly Acidic
ERR765586	ERS662612	A7001B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.1	445	2.4	42.5	1.1000000000000001	5.4	37.9	Slightly Acidic
ERR765587	ERS662613	A7002B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.3	445	2.4	0.6	0	5.7	16.3	Slightly Acidic
ERR765588	ERS662614	A7003B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.1	445	2.4	31.2	0.8	5.5	37.5	Slightly Acidic
ERR765589	ERS662615	A7004B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.3	445	2.4	1.2	0.1	6	20.1	Slightly Acidic
ERR765590	ERS662616	A7008B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.3	445	2.4	2.4	0.1	5.5	23.9	Slightly Acidic
ERR765591	ERS662617	A7009B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.1	445	2.4	34.9	0.9	4.4	39.8	Moderately Acidic
ERR765592	ERS662618	A7010B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.3	445	2.4	1.1000000000000001	0.1	5.6	19.8	Slightly Acidic
ERR765593	ERS662619	A7011B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.1	445	2.4	33.799999999999997	0.9	5.1	38.1	Slightly Acidic
ERR765594	ERS662620	A7012B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.3	445	2.4	1.4	0.1	5.7	21.5	Slightly Acidic
ERR765595	ERS662621	A7015B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.1	445	2.4	37.299999999999997	1	5.1	39.3	Slightly Acidic
ERR765596	ERS662622	A7016B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.3	445	2.4	2.5	0.1	5.5	21.3	Slightly Acidic
ERR765597	ERS662623	A7019B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.1	445	2.4	46.9	1.2	4.3	40.1	Moderately Acidic
ERR765598	ERS662624	A7020B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.3	445	2.4	2	0.1	5.5	21.6	Slightly Acidic
ERR765599	ERS662625	A7021B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.1	445	2.4	40.5	1.2	4.5	33.7	Moderately Acidic
ERR765600	ERS662626	A7022B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.3	445	2.4	1.2	0.1	5.6	24.2	Slightly Acidic
ERR765601	ERS662627	A7023B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.1	445	2.4	44.9	1.1000000000000001	4.5	42.1	Moderately Acidic
ERR765602	ERS662628	A7024B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.3	445	2.4	1.1000000000000001	0	5.8	27.3	Slightly Acidic
ERR765603	ERS662629	A7025B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.1	445	2.4	45	1.1000000000000001	4.3	40.6	Moderately Acidic
ERR765604	ERS662630	A7026B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.3	445	2.4	1.4	0.1	5.3	21.4	Slightly Acidic
ERR765605	ERS662631	A7027B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.1	445	2.4	44.7	1	4.4	44.4	Moderately Acidic
ERR765606	ERS662632	A7028B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.3	445	2.4	2.1	0.1	5.3	24.3	Slightly Acidic
ERR765607	ERS662633	A7029B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.1	445	2.4	40.700000000000003	1	4.2	40.2	Moderately Acidic
ERR765608	ERS662634	A7030B	BSON	Ontario	A7	Forest Soil	16S rRNA	V1-V3	2011-07-03	0.3	445	2.4	2.4	0.1	5.2	20.3	Slightly Acidic
ERR765609	ERS662635	A8031B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.1	450	1.8	41.4	1.2	4.6	35.4	Moderately Acidic
ERR765610	ERS662636	A8032B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.3	450	1.8	4.5	0.2	4.7	24.5	Moderately Acidic
ERR765611	ERS662637	A8035B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.1	450	1.8	32.299999999999997	0.8	5.1	38.4	Slightly Acidic
ERR765612	ERS662638	A8036B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.3	450	1.8	0.8	0	5.6	21.6	Slightly Acidic
ERR765614	ERS662640	A8038B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.3	450	1.8	1.3	0.1	5	20.8	Slightly Acidic
ERR765615	ERS662641	A8039B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.1	450	1.8	43.8	1.3	4.8	34.2	Moderately Acidic
ERR765616	ERS662642	A8040B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.3	450	1.8	1.6	0.1	5.4	21.6	Slightly Acidic
ERR765617	ERS662643	A8041B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.1	450	1.8	42	1.2	5	35.4	Slightly Acidic
ERR765618	ERS662644	A8042B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.3	450	1.8	2.1	0.1	5.2	20.9	Slightly Acidic
ERR765619	ERS662645	A8045B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.1	450	1.8	41.6	1.2	4.7	34.2	Moderately Acidic
ERR765620	ERS662646	A8046B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.3	450	1.8	2.1	0.1	5.3	21.7	Slightly Acidic
ERR765621	ERS662647	A8047B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.1	450	1.8	41.7	1.2	4.5	35.5	Moderately Acidic
ERR765622	ERS662648	A8048B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.3	450	1.8	0.9	0	5.4	23.6	Slightly Acidic
ERR765623	ERS662649	A8049B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.1	450	1.8	30.4	0.8	4.8	39.4	Moderately Acidic
ERR765624	ERS662650	A8050B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.3	450	1.8	1.3	0.1	5.7	20.3	Slightly Acidic
ERR765625	ERS662651	A8053B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.1	450	1.8	37.299999999999997	0.8	4.5	47.4	Moderately Acidic
ERR765626	ERS662652	A8054B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.3	450	1.8	1.7	0.1	5.4	23.7	Slightly Acidic
ERR765627	ERS662653	A8055B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.1	450	1.8	45.8	1.1000000000000001	4.1	41.8	Moderately Acidic
ERR765628	ERS662654	A8056B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.3	450	1.8	2.5	0.1	5.2	23.1	Slightly Acidic
ERR765629	ERS662655	A8057B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.1	450	1.8	44.3	1	4.7	43.8	Moderately Acidic
ERR765630	ERS662656	A8058B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.3	450	1.8	3.3	0.1	4.9	27.3	Moderately Acidic
ERR765631	ERS662657	A8059B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.1	450	1.8	45.7	1.1000000000000001	4.2	43.5	Moderately Acidic
ERR765632	ERS662658	A8060B	BSON	Ontario	A8	Forest Soil	16S rRNA	V1-V3	2011-07-04	0.3	450	1.8	1.7	0.1	5.2	18.4	Slightly Acidic
ERR765633	ERS662659	A9061B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.1	442	1.5	39.6	1.1000000000000001	5.2	34.6	Slightly Acidic
ERR765634	ERS662660	A9062B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.3	442	1.5	3.3	0.1	5.4	23.5	Slightly Acidic
ERR765635	ERS662661	A9063B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.1	442	1.5	35.299999999999997	1.1000000000000001	5.4	31.9	Slightly Acidic
ERR765636	ERS662662	A9064B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.3	442	1.5	2.2000000000000002	0.1	5.6	21.2	Slightly Acidic
ERR765637	ERS662663	A9067B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.1	442	1.5	32.6	0.9	5.4	37.2	Slightly Acidic
ERR765638	ERS662664	A9068B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.3	442	1.5	2.2999999999999998	0.1	5.8	18.3	Slightly Acidic
ERR765639	ERS662665	A9069B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.1	442	1.5	45.5	1.3	4.9	36.5	Moderately Acidic
ERR765640	ERS662666	A9070B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.3	442	1.5	0.7	0	5.8	17.5	Slightly Acidic
ERR765641	ERS662667	A9073B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.1	442	1.5	45.1	1.1000000000000001	5	40.2	Slightly Acidic
ERR765642	ERS662668	A9074B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.3	442	1.5	2.8	0.1	5.3	24.4	Slightly Acidic
ERR765643	ERS662669	A9075B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.1	442	1.5	42.7	0.9	4.9	47.4	Moderately Acidic
ERR765644	ERS662670	A9076B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.3	442	1.5	1.5	0.1	5.6	19.3	Slightly Acidic
ERR765645	ERS662671	A9077B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.1	442	1.5	27.7	0.7	5.8	40.1	Slightly Acidic
ERR765646	ERS662672	A9078B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.3	442	1.5	0.7	0	6	18.6	Slightly Acidic
ERR765647	ERS662673	A9081B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.1	442	1.5	13.4	0.3	5.3	46.2	Slightly Acidic
ERR765648	ERS662674	A9082B	BSON	Ontario	A9	Forest Soil	16S rRNA	V1-V3	2011-07-05	0.3	442	1.5	1.6	0.1	6.1	19.9	Slightly Acidic
