#SampleID	Sample Accession	Sample Alias	Ecozone	Region	Site	Environmental Source	Phylogenetic Marker	Target Gene Subfragment	Collection Date	sampling_depth_m	elevation_m	mean_annual_temp_C	total_carbon	total_nitrogen	ph	cn_ratio	ph_category	cn_category	env_feature	env_material	total_organic_carb_percent	total_inorganic_carbon_percent	total_carbon_percent	soil_total_inorganic_nitrogen	soil_nitrogen_units	total_nitrogen_percent	cn_category_per_dataset
10156.1S4.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.37	27.5964391691395	Neutral	Intermediate	freshwater wetland	soil	0.62319999999999998	1.1442000000000001	1.767	3.6397773550000001	ug N/g dry soil	0.06403	Intermediate-Wetlands
10156.1T1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.33	18.9293212036389	Neutral	Low	freshwater wetland	soil	1.5961000000000001	1.1085	2.705	0.70122342500000001	ug N/g dry soil	0.1429	Low-Wetlands
10156.1T2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	6.1	12.6882336100773	Slightly Acidic	Low	freshwater wetland	soil	2.1536	6.2300000000000001E-2	2.216	2.033181447	ug N/g dry soil	0.17465	Low-Wetlands
10156.1T3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.1	17.0606986319564	Neutral	Low	freshwater wetland	soil	1.9044000000000001	0.6643	2.569	2.1929337800000002	ug N/g dry soil	0.15058	Low-Wetlands
10156.1T4.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	6.63	14.0710324683571	Neutral	Low	freshwater wetland	soil	3.1162999999999998	0.20730000000000001	3.324	1.59213198	ug N/g dry soil	0.23623	Low-Wetlands
10156.1T5.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.22	21.7501203659124	Neutral	Intermediate	freshwater wetland	soil	2.5983000000000001	1.0161	3.614	2.676790607	ug N/g dry soil	0.16616	Intermediate-Wetlands
10156.20.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	397.7	NA	NA	NA	5.39	13.2647194112236	Slightly Acidic	Low	freshwater wetland	soil	2.2751999999999999	3.1600000000000003E-2	2.307	64.600583779999994	ug N/g dry soil	0.17392	Low-Wetlands
10156.21.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	436	NA	NA	NA	5.46	12.083009079118	Slightly Acidic	Low	freshwater wetland	soil	2.2905000000000002	3.7999999999999999E-2	2.329	28.86911048	ug N/g dry soil	0.19275	Low-Wetlands
10156.23.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	134.1	NA	NA	NA	7.56	17.6600209863589	Slightly Basic	Low	freshwater wetland	soil	1.0014000000000001	0.68140000000000001	1.683	0.53991939499999997	ug N/g dry soil	0.0953	Low-Wetlands
10156.24.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	134.1	NA	NA	NA	6.36	11.5550424527613	Slightly Acidic	Low	freshwater wetland	soil	7.7031999999999998	0.20419999999999999	7.907	111.2568448	ug N/g dry soil	0.68429	Low-Wetlands
