#SampleID	Sample Accession	Sample Alias	Ecozone	Region	Site	Environmental Source	Phylogenetic Marker	Target Gene Subfragment	Collection Date	sampling_depth_m	elevation_m	mean_annual_temp_C	total_carbon	total_nitrogen	ph	cn_ratio	ph_category	cn_category	env_feature	env_material	total_organic_carb_percent	total_inorganic_carbon_percent	total_carbon_percent	soil_total_inorganic_nitrogen	soil_nitrogen_units	total_nitrogen_percent	cn_category_per_dataset
10156.53.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	386	NA	NA	NA	7.73	10.9560229445507	Slightly Basic	Low	freshwater wetland	soil	0.63300000000000001	0.51349999999999996	1.146	3.342596012	ug N/g dry soil	0.1046	Low-Wetlands
10156.6.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	377.7	NA	NA	NA	7.21	12.5642909625276	Neutral	Low	freshwater wetland	soil	1.3363	0.71609999999999996	2.052	11.16556701	ug N/g dry soil	0.16332	Low-Wetlands
10156.8.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	266	NA	NA	NA	7.72	25.4791526563551	Slightly Basic	Intermediate	freshwater wetland	soil	0.81920000000000004	2.2122000000000002	3.031	25.519237090000001	ug N/g dry soil	0.11896	Intermediate-Wetlands
10156.9.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	166.1	NA	NA	NA	7.97	37.3775630142353	Slightly Basic	High	freshwater wetland	soil	0.45629999999999998	2.4058000000000002	2.862	2.1124250299999998	ug N/g dry soil	0.07657	High-Wetlands
10156.BCWL3.1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	387	NA	NA	NA	4.69	10.4524968451415	Moderately Acidic	Low	freshwater wetland	soil	2.8569	4.1799999999999997E-2	2.899	2.4331466019999999	ug N/g dry soil	0.27735	Low-Wetlands
10156.BCWL3.2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	387	NA	NA	NA	4.65	10.8966320315299	Moderately Acidic	Low	freshwater wetland	soil	2.3980000000000001	3.5200000000000002E-2	2.433	76.134082520000007	ug N/g dry soil	0.22328	Low-Wetlands
10156.BCWL3.3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	387	NA	NA	NA	4.68	14.383921534285	Moderately Acidic	Low	freshwater wetland	soil	3.2486999999999999	3.6299999999999999E-2	3.285	79.652519740000002	ug N/g dry soil	0.22838	Low-Wetlands
10156.BCWL4.1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	387	NA	NA	NA	4.65	12.8536039635608	Moderately Acidic	Low	freshwater wetland	soil	3.1698	4.7699999999999999E-2	3.217	31.930970739999999	ug N/g dry soil	0.25028	Low-Wetlands
10156.BCWL4.3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	387	NA	NA	NA	4.48	14.6162263561044	Moderately Acidic	Low	freshwater wetland	soil	3.6964000000000001	4.3200000000000002E-2	3.74	12.87525849	ug N/g dry soil	0.25588	Low-Wetlands
10156.BCWL5.1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	387	NA	NA	NA	5.06	10.8333333333333	Slightly Acidic	Low	freshwater wetland	soil	2.6911	3.8699999999999998E-2	2.73	112.1638803	ug N/g dry soil	0.252	Low-Wetlands
10156.BCWL5.2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	387	NA	NA	NA	5.03	14.799874813089	Slightly Acidic	Low	freshwater wetland	soil	4.2157999999999998	4.0500000000000001E-2	4.256	101.5762799	ug N/g dry soil	0.28757	Low-Wetlands
10156.BCWL5.3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	387	NA	NA	NA	4.93	12.0287181132681	Moderately Acidic	Low	freshwater wetland	soil	2.9578000000000002	4.1200000000000001E-2	2.999	111.40023170000001	ug N/g dry soil	0.24932	Low-Wetlands
10156.CBFSNW1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.34	45.6594323873122	Neutral	High	freshwater wetland	soil	0.42449999999999999	2.3105000000000002	2.735	42.098361570000002	ug N/g dry soil	0.0599	High-Wetlands
10156.CBFSNW2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	6.37	17.726969364249	Slightly Acidic	Low	freshwater wetland	soil	7.7087000000000003	0.52559999999999996	8.234	98.452631609999997	ug N/g dry soil	0.46449	Low-Wetlands
10156.CBFSNW3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	6.25	17.1416638491677	Slightly Acidic	Low	freshwater wetland	soil	8.016	0.60309999999999997	8.619	123.30782240000001	ug N/g dry soil	0.50281	Low-Wetlands
10156.NW1.A.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	386	NA	NA	NA	NA	13.3828288596992	NA	Low	freshwater wetland	soil	20.943000000000001	0.14779999999999999	21.09	44.419294290000003	ug N/g dry soil	1.5759	Low-Wetlands
10156.NW2.A.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	386	NA	NA	NA	NA	13.7808219178082	NA	Low	freshwater wetland	soil	19.934999999999999	0.18820000000000001	20.12	44.069954039999999	ug N/g dry soil	1.46	Low-Wetlands
10156.NW3.A.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	386	NA	NA	NA	NA	14.2879834802637	NA	Low	freshwater wetland	soil	17.805	0.18579999999999999	17.99	30.636420640000001	ug N/g dry soil	1.2591	Low-Wetlands
10156.NW4.A.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	386	NA	NA	NA	5.25	12.5382779157524	Slightly Acidic	Low	freshwater wetland	soil	10.257999999999999	0.1401	10.4	27.385145770000001	ug N/g dry soil	0.82946	Low-Wetlands
10156.NW5.A.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	386	NA	NA	NA	5.09	12.5462468141084	Slightly Acidic	Low	freshwater wetland	soil	15.11	0.14710000000000001	15.26	62.287363069999998	ug N/g dry soil	1.2163	Low-Wetlands
ERR1226373	ERS1040248	BP241B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	2.5	0.1	5.5	22.8	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226374	ERS1040249	BP242B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	2.5	0.1	5.5	22.8	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226375	ERS1040250	BP243B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	2.5	0.1	5.5	22.8	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226376	ERS1040251	BP244B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	41.8	1.5	5.8	27.7	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226377	ERS1040252	BP245B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	41.8	1.5	5.8	27.7	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226378	ERS1040253	BP246B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	41.8	1.5	5.8	27.7	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226379	ERS1040254	BP250B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2	0.1	5.6	22.3	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226380	ERS1040255	BP251B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2	0.1	5.6	22.3	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226381	ERS1040256	BP252B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2	0.1	5.6	22.3	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226382	ERS1040257	BP256B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.6	0.1	5.7	23.6	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226383	ERS1040258	BP257B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.6	0.1	5.7	23.6	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226384	ERS1040259	BP258B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.6	0.1	5.7	23.6	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226385	ERS1040260	BP259B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	38.700000000000003	1.1000000000000001	5.6	35.2	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226386	ERS1040261	BP260B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	38.700000000000003	1.1000000000000001	5.6	35.2	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226387	ERS1040262	BP261B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	38.700000000000003	1.1000000000000001	5.6	35.2	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226388	ERS1040263	BP262B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	3	0.1	5.4	27.1	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226389	ERS1040264	BP263B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	3	0.1	5.4	27.1	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226390	ERS1040265	BP264B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	3	0.1	5.4	27.1	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226394	ERS1040269	BP268B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.8	0.1	5.4	27.6	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226395	ERS1040270	BP269B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.8	0.1	5.4	27.6	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226396	ERS1040271	BP270B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.8	0.1	5.4	27.6	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226397	ERS1040272	BP271B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	38.6	1	5.3	37.5	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226398	ERS1040273	BP272B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	38.6	1	5.3	37.5	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226399	ERS1040274	BP273B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	38.6	1	5.3	37.5	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226400	ERS1040275	BP274B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.7	0.1	5.5	24.2	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226401	ERS1040276	BP275B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.7	0.1	5.5	24.2	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226402	ERS1040277	BP276B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.7	0.1	5.5	24.2	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226403	ERS1040278	BP277B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	33.4	0.9	5.2	38.4	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226404	ERS1040279	BP278B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	33.4	0.9	5.2	38.4	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226405	ERS1040280	BP279B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	33.4	0.9	5.2	38.4	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226406	ERS1040281	BP280B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.1	0.1	5.3	22.9	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226407	ERS1040282	BP281B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.1	0.1	5.3	22.9	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226408	ERS1040283	BP282B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.1	0.1	5.3	22.9	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226409	ERS1040284	BP286B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.1	0.1	5.7	23.3	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226410	ERS1040285	BP287B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.1	0.1	5.7	23.3	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226411	ERS1040286	BP288B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.1	0.1	5.7	23.3	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226412	ERS1040287	BP289B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	37.6	0.9	5.1	41.4	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226413	ERS1040288	BP290B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	37.6	0.9	5.1	41.4	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226414	ERS1040289	BP291B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	37.6	0.9	5.1	41.4	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226415	ERS1040290	BP292B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	3.6	0.2	5.7	23.7	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226416	ERS1040291	BP293B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	3.6	0.2	5.7	23.7	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226417	ERS1040292	BP294B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	3.6	0.2	5.7	23.7	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226418	ERS1040293	BP295B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	44.4	1.3	5.4	35.5	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226419	ERS1040294	BP296B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	44.4	1.3	5.4	35.5	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226420	ERS1040295	BP297B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.1	1180	2.5	44.4	1.3	5.4	35.5	Slightly Acidic	High	NA	NA	NA	NA	NA	NA	NA	NA	High-Soil
ERR1226421	ERS1040296	BP298B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.4	0.1	5.6	24.2	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226422	ERS1040297	BP299B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.4	0.1	5.6	24.2	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226423	ERS1040298	BP300B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	2010-06-22	0.3	1180	2.5	2.4	0.1	5.6	24.2	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226424	ERS1040299	DC184B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	1.7	0.1	5.9	18.4	Slightly Acidic	Low	NA	NA	NA	NA	NA	NA	NA	NA	Low-Soil
ERR1226425	ERS1040300	DC185B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	1.7	0.1	5.9	18.4	Slightly Acidic	Low	NA	NA	NA	NA	NA	NA	NA	NA	Low-Soil
ERR1226426	ERS1040301	DC186B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	1.7	0.1	5.9	18.4	Slightly Acidic	Low	NA	NA	NA	NA	NA	NA	NA	NA	Low-Soil
ERR1226427	ERS1040302	DC187B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.1	1150	2.5	32.9	1.3	6	25.1	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226428	ERS1040303	DC188B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.1	1150	2.5	32.9	1.3	6	25.1	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226429	ERS1040304	DC189B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.1	1150	2.5	32.9	1.3	6	25.1	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226430	ERS1040305	DC190B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	3.3	0.2	5.6	20.5	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226431	ERS1040306	DC191B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	3.3	0.2	5.6	20.5	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226432	ERS1040307	DC192B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	3.3	0.2	5.6	20.5	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226433	ERS1040308	DC193B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.1	1150	2.5	32.9	1.2	5.8	28.4	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226434	ERS1040309	DC194B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.1	1150	2.5	32.9	1.2	5.8	28.4	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226435	ERS1040310	DC195B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.1	1150	2.5	32.9	1.2	5.8	28.4	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226436	ERS1040311	DC196B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	2.1	0.1	5.6	20.5	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226437	ERS1040312	DC197B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	2.1	0.1	5.6	20.5	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226438	ERS1040313	DC198B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	2.1	0.1	5.6	20.5	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226439	ERS1040314	DC199B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.1	1150	2.5	30.1	1	5.8	29.3	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226440	ERS1040315	DC200B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.1	1150	2.5	30.1	1	5.8	29.3	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226441	ERS1040316	DC201B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.1	1150	2.5	30.1	1	5.8	29.3	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226442	ERS1040317	DC202B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	2.4	0.1	5.8	18.5	Slightly Acidic	Low	NA	NA	NA	NA	NA	NA	NA	NA	Low-Soil
ERR1226443	ERS1040318	DC203B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	2.4	0.1	5.8	18.5	Slightly Acidic	Low	NA	NA	NA	NA	NA	NA	NA	NA	Low-Soil
ERR1226444	ERS1040319	DC204B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	2.4	0.1	5.8	18.5	Slightly Acidic	Low	NA	NA	NA	NA	NA	NA	NA	NA	Low-Soil
ERR1226445	ERS1040320	DC205B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.1	1150	2.5	38.700000000000003	1.3	5.6	29.5	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226446	ERS1040321	DC206B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.1	1150	2.5	38.700000000000003	1.3	5.6	29.5	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226447	ERS1040322	DC207B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.1	1150	2.5	38.700000000000003	1.3	5.6	29.5	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226448	ERS1040323	DC208B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	2.2999999999999998	0.1	5.2	20.5	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226449	ERS1040324	DC209B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	2.2999999999999998	0.1	5.2	20.5	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226450	ERS1040325	DC210B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	2.2999999999999998	0.1	5.2	20.5	Slightly Acidic	Intermediate	NA	NA	NA	NA	NA	NA	NA	NA	Intermediate-Soil
ERR1226451	ERS1040326	DC214B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	1.8	0.1	5.7	19.7	Slightly Acidic	Low	NA	NA	NA	NA	NA	NA	NA	NA	Low-Soil
ERR1226452	ERS1040327	DC215B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	1.8	0.1	5.7	19.7	Slightly Acidic	Low	NA	NA	NA	NA	NA	NA	NA	NA	Low-Soil
ERR1226453	ERS1040328	DC216B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	1.8	0.1	5.7	19.7	Slightly Acidic	Low	NA	NA	NA	NA	NA	NA	NA	NA	Low-Soil
ERR1226454	ERS1040329	DC220B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	2	0.1	5.8	18	Slightly Acidic	Low	NA	NA	NA	NA	NA	NA	NA	NA	Low-Soil
ERR1226455	ERS1040330	DC222B	IDFBC	British Columbia	DC	Forest Soil	16S rRNA	V1-V3	2010-06-25	0.3	1150	2.5	2	0.1	5.8	18	Slightly Acidic	Low	NA	NA	NA	NA	NA	NA	NA	NA	Low-Soil
